(156, 130)
(156, 130)
(156, 129)
(156, 128)
(156, 127)
(156, 126)
(156, 125)
(155, 125)
(154, 125)
(153, 125)
(152, 125)
(151, 125)
(150, 125)
(149, 125)
(148, 125)
(147, 125)
(146, 125)
(145, 125)
(144, 125)
(143, 125)
(142, 125)
(141, 125)
(140, 125)
(139, 125)
(138, 125)
(137, 125)
(136, 125)
(135, 125)
(134, 125)
(133, 125)
(133, 124)
(132, 124)
(132, 123)
(131, 123)
(130, 123)
(130, 122)
(130, 121)
(130, 120)
(129, 120)
(129, 119)
(128, 119)
(127, 119)
(127, 118)
(126, 118)
(125, 118)
(124, 118)
(124, 117)
(123, 117)
(122, 117)
(122, 116)
(121, 116)
(120, 116)
(120, 115)
(120, 114)
(120, 113)
(120, 112)
(120, 111)
(120, 110)
(120, 109)
(120, 108)
(120, 107)
(120, 106)
(120, 105)
(120, 104)
(120, 103)
(120, 102)
(120, 101)
(120, 100)
(120, 99)
(120, 98)
(120, 97)
(120, 96)
(120, 95)
(119, 95)
(119, 94)
(118, 94)
(118, 93)
(117, 93)
(116, 93)
(115, 93)
(115, 92)
(114, 92)
(113, 92)
(113, 91)
(112, 91)
(112, 90)
(111, 90)
(110, 90)
(110, 89)
(110, 88)
(110, 87)
(109, 87)
(109, 86)
(108, 86)
(107, 86)
(106, 86)
(106, 85)
(105, 85)
(104, 85)
(104, 84)
(104, 83)
(104, 82)
(104, 81)
(104, 80)
(104, 79)
(104, 78)
(104, 77)
(103, 77)
(102, 77)
(101, 77)
(101, 76)
(101, 75)
(101, 74)
(101, 73)
(101, 72)
(101, 71)
(101, 70)
(101, 69)
(101, 68)
(101, 67)
(101, 66)
(101, 65)
(101, 64)
(101, 63)
(101, 62)
(101, 61)
(101, 60)
(101, 59)
(101, 58)
(100, 58)
(99, 58)
(98, 58)
(95, 58)
(95, 57)
(94, 57)
(93, 57)
(93, 56)
(93, 55)
(93, 54)
(93, 53)
(93, 52)
(93, 51)
(93, 50)
(93, 49)
(93, 48)
(93, 47)
(93, 46)
(92, 46)
(91, 46)
(90, 46)
(89, 46)
(88, 46)
(87, 46)
(86, 46)
(85, 46)
(84, 46)
(83, 46)
(82, 46)
(81, 46)
(80, 46)
(80, 45)
(80, 44)
(80, 43)
(80, 42)
(80, 41)
(80, 40)
(79, 40)
(79, 39)
(79, 38)
(78, 38)
(77, 38)
(76, 38)
(75, 38)
(75, 37)
(75, 36)
(74, 36)
(74, 35)
(74, 34)
(74, 33)
(74, 32)
(74, 31)
(74, 30)
(74, 29)
(74, 28)
(73, 28)
(73, 27)
(72, 27)
(71, 27)
(70, 27)
(69, 27)
(68, 27)
(67, 27)
(66, 27)
(65, 27)
(64, 27)
(63, 27)
